grdc_no,lat,long,area,altitude,
1160200,-30.823889,18.1175,2351,175,
1160210,-33.986389,18.955556,20,299,
1160220,-32.780278,19.283056,267,837,
1160230,-32.211667,18.936667,163,116,
1160235,-31.8625,18.68639,24044,-999,
1160240,-33.184722,19.155278,19,345,
1160245,-33.134444,19.060556,183,130,
1160250,-33.463889,18.740278,246,117,
1160255,-33.705,18.699722,473,59,
1160256,-33.72277778,18.61666667,1311,-999,
1160257,-33.581944,18.361944,23,14,
1160260,-33.808611,18.984167,726,140,
1160263,-33.70777778,18.99111111,628,-999,
1160265,-33.313889,19.074444,395,93,
1160266,-33.13083333,18.86277778,2936,-999,
1160270,-33.352222,19.100278,35,277,
1160271,-33.379444,19.149444,27,181,
1160275,-33.388056,19.159167,10,176,
1160276,-33.390556,19.171389,5,194,
1160280,-33.8275,19.034722,3,321,
1160281,-33.826389,19.027778,2,440,
1160285,-33.821944,19.058889,3,280,
1160286,-33.815278,19.061111,2,358,
1160287,-33.8225,19.046389,4,288,
1160290,-33.9125,18.943889,30,259,
1160295,-33.890556,19.078889,46,199,
1160300,-33.380556,19.301389,657,441,
1160301,-33.421667,19.266944,753,294,
1160302,-34.070278,20.39,9854,77,
1160303,-33.89777778,20.01166667,6713,-999,
1160304,-33.81805556,19.69333333,4355,-999,
1160305,-34.0675,20.40555556,9842,-999,
1160310,-33.359444,19.298056,52,455,
1160315,-33.461667,19.617222,16,482,
1160317,-33.568333,19.144722,85,273,
1160318,-33.756667,19.329722,152,296,
1160320,-32.502778,19.535,6895,389,
1160324,-33.763889,19.850833,24,558,
1160325,-34.010278,19.837778,18,336,
1160327,-33.954167,19.587222,15,370,
1160328,-33.983333,19.329167,15,405,
1160330,-32.601667,18.749444,660,51,
1160331,-33.964722,19.291389,56,389,
1160332,-33.938611,19.170556,46,389,
1160340,-33.562222,19.51,699,302,
1160341,-33.87166667,20.00222222,1201,-999,
1160343,-33.791111,20.123889,593,214,
1160345,-33.708889,20.058333,76,324,
1160346,-33.696389,19.928056,14,544,
1160347,-33.596389,19.761944,106,703,
1160348,-33.638611,19.813611,48,829,
1160350,-33.571944,20.701944,2900,459,
1160351,-33.945278,22.614167,79,136,
1160352,-33.69388889,21.14305556,5837,-999,
1160353,-33.74916667,21.44444444,12493,-999,
1160360,-33.354167,19.719167,9,1036,
1160361,-33.288056,19.727222,30,889,
1160365,-33.489444,21.489167,268,471,
1160367,-33.489444,21.489444,25,470,
1160368,-33.491944,21.514167,25,469,
1160370,-34.030833,21.586389,95,119,
1160373,-33.98027778,21.65333333,43451,-999,
1160375,-33.9875,21.759722,101,102,
1160376,-33.50222222,21.62277778,7805,-999,
1160378,-33.31,21.634167,17076,-999,
1160380,-33.476944,23.029444,4230,571,
1160385,-33.545278,22.973889,33,652,
1160390,-33.475556,22.547778,692,480,
1160391,-33.66,21.77305556,10927,-999,
1160393,-33.679167,22.14,351,278,
1160395,-33.368056,22.179167,29,698,
1160396,-33.4675,22.000556,137,460,
1160398,-33.460833,21.960278,35,583,
1160400,-34.006667,22.350278,145,117,
1160403,-34.02861111,22.22194444,131,-999,
1160405,-33.950833,22.422222,34,200,
1160410,-33.935278,22.130556,4,401,
1160415,-34.103056,22.071389,144,11,
1160417,-34.03166667,22.05277778,215,-999,
1160419,-34.03944444,22.13222222,198,-999,
1160420,-33.970833,22.547222,47,75,
1160425,-33.9125,22.707778,72,218,
1160427,-33.880556,22.837778,23,256,
1160430,-33.890833,23.029167,135,194,
1160435,-33.991111,23.041944,94,61,
1160441,-33.803333,23.135278,162,320,
1160443,-33.94583333,23.3675,761,-999,
1160450,-33.737778,23.304167,53,780,
1160453,-33.79194444,24.03277778,1627,-999,
1160455,-33.955556,23.638333,56,36,
1160456,-33.98194444,24.02097222,25.6,-999,
1160457,-33.865556,23.835556,21,578,
1160458,-34.03197222,24.19552778,-999,-999,
1160459,-34.09663889,24.43911111,134,-999,
1160460,-33.730833,24.617778,29571,133,
1160470,-33.203611,24.234167,1296,500,
1160480,-32.237778,23.050556,3943,944,
1160481,-32.068889,23.0075,3672,1003,
1160485,-33.77191667,25.38638889,912,-999,
1160487,-33.797222,25.308889,394,83,
1160490,-33.000278,25.164167,1742,312,
1160493,-33.09930556,25.0115,13422,-999,
1160495,-33.1075,25.228333,542,264,
1160500,-33.329167,26.0775,1479,276,
1160505,-33.55230556,26.60180556,588,-999,
1160510,-33.098056,26.444722,23067,300,
1160511,-31.903056,25.481667,9545,975,
1160512,-31.904167,25.430556,1717,980,
1160520,-31.57,25.543889,1565,1120,
1160523,-31.7775,25.3175,2445,-999,
1160525,-32.03545836,25.52111611,878,1337,
1160527,-32.785,25.61483333,1512,-999,
1160528,-32.08583333,25.57583333,10830,-999,
1160529,-32.31419444,25.74111111,4742,-999,
1160530,-32.605833,25.884444,806,630,
1160533,-33.02763889,25.89330556,19130,-999,
1160535,-31.968333,26.001111,1308,1111,
1160537,-32.76144444,26.62886111,1023,-999,
1160540,-33.355278,26.861389,47,267,
1160545,-33.506667,26.744167,575,39,
1160550,-32.180833,26.820556,462,1055,
1160580,-33.237778,26.994722,29745,38,
1160600,-33.185278,27.390556,2530,7,
1160601,-33.011667,26.954167,1429,283,
1160602,-32.751667,27.090278,482,521,
1160605,-32.751667,27.097778,100,526,
1160607,-32.6375,27.1925,33,691,
1160610,-32.858333,27.370556,121,397,
1160611,-32.915278,27.386111,103,372,
1160612,-32.786944,27.262778,15,551,
1160615,-32.767778,27.372778,62,454,
1160617,-32.99163889,27.64002778,1011,-999,
1160620,-32.759444,26.854722,238,521,
1160621,-32.64,26.935833,71,702,
1160625,-32.701944,26.575833,228,477,
1160630,-32.713333,26.295833,1245,572,
1160631,-32.499167,26.365,496,852,
1160635,-32.553611,26.670833,77,604,
1160640,-32.875278,27.382778,407,521,
1160641,-32.731667,27.293333,29,535,
1160650,-30.734167,29.828611,728,617,
1160660,-32.801667,27.855278,509,197,
1160670,-32.575556,27.6225,490,656,
1160671,-32.579167,27.365833,91,796,
1160675,-32.516111,27.523611,216,756,
1160680,-29.776944,29.470556,545,1476,
1160682,-30.24733333,29.92908333,3586,-999,
1160684,-32.51639,28.01806,18795,-999,
1160685,-29.747222,29.538889,143,1498,
1160687,-29.988056,29.851667,97,997,
1160688,-30.403611,29.894444,873,600,
1160690,-32.050278,26.789722,1414,1034,
1160693,-32.17377778,27.37230556,-999,-999,
1160695,-32.04430556,27.82238889,2359,-999,
1160700,-29.743611,29.904722,1744,921,
1160701,-30.168889,30.696944,4358,30,
1160703,-30.13561111,30.67372222,4328,-999,
1160704,-29.80394558,30.51587147,417,-999,
1160705,-29.862222,30.244167,115,869,
1160706,-29.8425,30.268889,1,1069,
1160707,-29.846111,30.263889,0.3,1038,
1160708,-29.847222,30.235278,16,912,
1160709,-29.748889,30.316944,104,851,
1160710,-29.4425,30.148333,353,1060,
1160715,-29.381667,30.2775,341,30,
1160717,-29.423056,30.488056,435,637,
1160720,-29.5125,30.094167,294,1071,
1160721,-29.487222,30.2375,950,990,
1160723,-29.60772222,30.45025,534,-999,
1160725,-29.64244444,30.68861111,3771,-999,
1160730,-31.922778,26.785556,2193,1054,
1160731,-31.744167,26.583889,812,1219,
1160740,-31.920278,28.447778,4942,460,
1160743,-31.79966667,28.33302778,-999,-999,
1160745,-31.67027778,28.11163889,978,-999,
1160750,-29.071389,30.245556,1546,1098,
1160751,-29.033056,30.36,1956,857,
1160752,-29.36,29.880833,267,1444,
1160755,-29.266111,29.867778,191,1388,
1160756,-29.238333,29.787778,111,1517,
1160760,-31.584167,28.784167,1213,659,
1160763,-31.23805556,28.85222222,4285,-999,
1160765,-31.071667,28.353333,307,1253,
1160770,-31.031667,28.884444,2573,819,
1160772,-31.10427778,29.39972222,2703,-999,
