grdc_no,lat,long,area,altitude,
2903722,66.25,114.28,16500,-999,
2903725,64.2,118.97,3850,-999,
2903727,66.47,112.32,1990,-999,
2903728,64.6,112.52,18600,-999,
2903730,62.956991,117.484177,11200,125,
2903732,62.42,114.37,6520,-999,
2903735,63.693977,112.439269,4360,-999,
2903740,61.98,109.75,22600,-999,
2903741,61.9,109.58,21000,-999,
2903745,63.32,109.42,4130,-999,
2903750,63.37,111.93,3380,-999,
2903760,61.72,113.02,9230,-999,
2903810,55.97,127.58,4180,-999,
2903811,55.95,127.58,950,-999,
2903920,58.97,126.27,22.8,-999,
2903930,61.88,135.57,20.3,-999,
2903940,63.27,143.23,743,-999,
2903950,60.45,120.35,469,-999,
2903960,61.93,129.55,170,-999,
2903981,69.58,147.35,305000,4,
2903983,64.05,141.88,51100,578,
2903985,64.53,143.12,83500,482,
2903987,69.4,139.9,3090,-999,
2903989,64.53,143.15,28.4,-999,
2903991,63.43,140.6,1830,-999,
2903993,64.43,144.37,22300,568,
2904200,51.26,142.71,3420,52,
2904800,46.81,142.44,667,93,
2904850,47.33,142.59,679,-999,
2905800,43.44,133.51,549,251,
2906100,51.93,113.68,575,633,
2906200,52.25,117.72,175000,435,
2906201,53.42,119.97,200000,-999,
2906300,49.78,129.92,67400,-999,
2906500,51.95,129.12,67000,169,
2906600,48.93,131.8,2910,213,
2906650,48.81,132.89,155,-999,
2906700,48.43,135.05,1630000,24,
2906800,45.02,133.65,24400,79,
2906850,44.31,134.26,3350,180,
2906860,45.56,134.81,4730,94,
2906880,52.56,136.5,-999,-999,
2906900,50.63,137.12,1730000,13,
2906901,52.53,140.47,1790000,-999,
2907005,54.51,109.81,93.6,-999,
2907006,54.51,109.81,552,-999,
2907007,54.51,109.81,5120,-999,
2907008,53.87,109.93,29.7,-999,
2907010,53.6,109.6,19800,467,
2907011,54.38,110.42,9350,-999,
2907012,53.63,109.7,177,-999,
2907013,53.52,109.92,290,-999,
2907014,53.73,110.25,3270,517,
2907015,54.47,110.52,189,-999,
2907016,54.25,110.72,1100,-999,
2907018,53.25,108.73,440,-999,
2907019,52.92,108.73,5050,460,
2907020,51.83,107.63,34700,499,
2907021,52.15,109.75,7850,-999,
2907022,52.32,110.63,3900,767,
2907025,52.1,109.73,7800,-999,
2907026,51.88,110.48,3300,-999,
2907027,52.23,109.88,3580,-999,
2907028,52.48,110,2660,-999,
2907030,52.05,108.51,5500,561,
2907031,52.38,108.92,3620,-999,
2907032,52.63,109.52,230,-999,
2907033,51.62,109.6,820,-999,
2907035,52.6,108.07,1740,-999,
2907037,52.57,107.13,379,-999,
2907038,52.2,107.63,2120,-999,
2907039,51.92,108.18,4400,-999,
2907040,51.2,106.97,38300,528,
2907041,50.62,107.82,29600,-999,
2907042,51.35,110.47,15400,-999,
2907043,50.83,108.4,25711,663,
2907044,51.72,111.97,3240,897,
2907045,51.82,112.52,1900,-999,
2907046,51.73,111.95,1590,-999,
2907047,50.97,110.35,1300,-999,
2907048,50.83,108.4,25700,663,
2907050,50.88,108.62,2290,-999,
2907052,51.15,108.95,1240,-999,
2907053,51.23,108.85,966,-999,
2907060,50.92,106.63,44700,541,
2907061,50.3,108.63,15600,741,
2907062,49.9,110.53,1510,-999,
2907065,50.45,109.55,2010,-999,
2907067,50.62,110.25,36,-999,
2907068,50.62,108,910,-999,
2907069,50.35,108.63,31.3,-999,
2907070,49.88,108.05,2120,-999,
2907071,49.92,108.1,1140,-999,
2907073,49.97,107.8,107.8,-999,
2907075,50.42,106.82,1130,-999,
2907080,50.63,106.12,23300,-999,
2907081,50.43,103.93,8480,-999,
2907085,51.1,105.98,4240,639,
2907086,50.38,103.3,170,-999,
2907087,50.7,102.8,1030,-999,
2907100,51.36,104.31,1130,475,
2907105,51.47,104.42,204,-999,
2907106,55.85,110.15,20600,455,
2907107,56.32,113.05,623,-999,
2907108,56.28,113.37,63.9,-999,
2907109,56.2,112.33,1090,-999,
2907110,51.53,104.07,959,-999,
2907115,51.52,104.15,14.8,-999,
2907120,51.67,103.65,62.9,-999,
2907125,51.65,103.73,56.2,-999,
2907200,51.76,106.44,565,477,
2907205,52.02,106.22,90,-999,
2907210,51.78,106.02,558,-999,
2907215,51.72,105.87,151,-999,
2907220,50.43,103.77,3600,-999,
2907225,51.48,104.92,2600,-999,
2907227,51.43,104.63,3000,-999,
2907400,52.03,107.48,440000,486,
2907401,52.07,107.65,445000,-999,
2907402,51.1,106.67,360000,531,
2907403,50.4,106.12,282000,589,
2907410,52.02,106.68,320,-999,
2907415,52.03,106.85,255,-999,
2907420,52.15,107.27,193,-999,
2907422,51.53,106.97,1840,-999,
2907424,51.48,107.37,1060,-999,
2907426,51.43,107.6,184,-999,
2907428,51.07,107.27,1310,-999,
2907910,55.88,109.78,1050,-999,
2907915,55.75,109.3,2380,-999,
2907920,55.7,109.05,297,-999,
2907925,55.33,109.18,567,-999,
2907930,52.82,106.4,727,-999,
2907935,52.55,106.07,1700,-999,
2907940,52.05,105.42,2260,-999,
2908010,57.37,96.63,51000,-999,
2908011,56.37,98.37,31800,212,
2908012,55.97,97.78,24700,-999,
2908013,55.53,97.83,10200,-999,
2908014,54.6,98.23,5890,-999,
2908015,54.47,97.83,1770,-999,
2908020,55.53,97.6,7940,316,
2908023,55.88,98.13,741,-999,
2908025,55.55,98.68,1990,-999,
2908028,54.22,96.9,783,-999,
2908030,57.4,94.77,9070,-999,
2908035,57.27,94.67,1250,-999,
2908036,56.7,96.03,325,-999,
2908037,56.18,96.57,2390,-999,
2908038,55.73,96.23,948,-999,
2908039,55.8,97.28,4580,-999,
2908040,56.13,100.05,2130,-999,
2908050,57.82,94.32,127000,41,
2908060,58.1,99,9320,191,
2908061,57.65,99.53,5020,-999,
2908065,58.03,97.38,4190,181,
2908070,58.4,96.25,1510,-999,
2908099,58.08,102.73,785000,-999,
2908100,58.35,93.55,1040000,82,
2908101,58.38,97.45,866000,121,
2908102,56.28,101.73,736000,294,
2908103,52.57,103.95,598000,-999,
2908104,52.27,104.32,573000,-999,
2908105,52.23,104.3,573000,426,
2908120,53.67,102.92,1470,-999,
2908125,54.18,100.08,2400,-999,
2908127,54.08,100.6,2950,-999,
2908128,54.63,100.33,1120,-999,
2908130,56.62,101.5,3840,-999,
2908131,56.1,101.25,2420,-999,
2908135,57.42,102.13,1390,-999,
2908140,57.75,102.55,1990,-999,
2908145,58.3,102.78,3380,-999,
2908147,58.73,102.55,2360,-999,
2908148,58.77,102.72,7950,-999,
2908150,52.28,104.28,15000,-999,
2908151,51.78,103.27,11600,658,
2908152,51.72,102.6,6560,-999,
2908153,51.68,100.98,1200,-999,
2908155,51.77,102.52,811,-999,
2908157,51.72,102.85,4160,-999,
2908160,52.57,103.87,8420,409,
2908161,52.1,102.7,3920,-999,
2908165,52.2,103.27,1070,-999,
2908170,52.45,104.28,7840,430,
2908171,52.95,104.85,1620,-999,
2908173,52.88,105.35,1000,-999,
2908180,52.85,103.17,16400,410,
2908181,52.92,102.82,9720,-999,
2908182,52.77,102.43,3990,45,
2908183,52.88,101.85,3230,571,
2908184,52.73,102.05,1970,-999,
2908185,53.05,102.37,980,-999,
2908186,53.2,103.52,2490,-999,
2908187,53.38,103.8,1870,-999,
2908190,54.5,102.02,33400,407,
2908191,53.95,102.1,27000,-999,
2908192,53.35,102.2,18700,-999,
2908194,53.7,101.35,2550,-999,
2908196,53.42,101.57,1770,-999,
2908199,53.73,103.92,942,-999,
2908200,54.58,100.62,14500,449,
2908201,53.92,99.92,5140,-999,
2908205,54.18,103.7,812,-999,
2908210,55.92,104.1,11200,-999,
2908211,55.83,104.25,3830,-999,
2908300,53.53,98.21,4980,46,
2908301,53.63,98.22,4980,-999,
2908302,54.07,99.25,17200,358,
2908303,55.43,99.42,23200,-999,
2908304,56.28,99.58,31700,-999,
2908305,57.82,94.32,127000,-999,
2908310,55.05,99.4,1140,-999,
2908500,52.1,104.03,590,450,
2908600,58.35,93.55,1880,-999,
2908650,58.8,97.23,8950,151,
2908680,59.13,99.38,13300,173,
2908700,52.47,99.65,2850,-999,
2909100,67.51,86.55,323,-999,
2909150,67.43,86.48,2440000,-999,
2909151,65.18,87.83,1870000,-999,
2909152,61.6,90.08,1760000,20,
2909153,58.45,92.15,1400000,65,
2909154,55.98,92.8,300000,-999,
2909155,55.47,92.35,289000,-999,
2909156,55.46,92.3,289000,-999,
2909157,53.65,91.57,192000,-999,
2909158,53.02,91.48,182000,301,
2909159,52.12,92.28,168000,-999,
2909160,51.72,94.4,115000,616,
2909161,51.88,94.46,56500,634,
2909162,52.5,94.93,44600,-999,
2909163,52.47,96.1,15600,892,
2909164,51.72,94.5,58600,-999,
2909165,51.5,95.57,53300,701,
2909166,51.33,96.25,42300,45,
2909200,52.75,97.42,4890,1041,
2909205,51.47,98.03,20200,-999,
2909210,51.33,96.25,1060,-999,
2909215,51.37,95.67,5980,-999,
2909217,50.978501,94.9725,610,-999,
2909220,51.12,93.83,1850,-999,
2909225,53.33,95.58,295,-999,
2909230,52.7,95.52,4430,-999,
2909235,52,93.5,710,-999,
2909238,51.9,94.45,1170,-999,
2909240,51.58,91.6,25500,-999,
2909245,51.42,90.45,1610,-999,
2909250,52.08,92.73,6110,569,
2909251,52.58,93.43,1260,-999,
2909253,52.08,92.73,382,-999,
2909260,53.58,91.25,31300,265,
2909261,52.65,90.1,14400,445,
2909262,52.5,89.25,8300,-999,
2909265,53.7,91.78,176,-999,
2909268,52.63,90.18,2350,-999,
2909269,52.8,89.88,1940,-999,
2909270,52.38,89.83,4410,-999,
2909271,52.07,89.75,1040,-999,
2909280,52.95,91.47,208,-999,
2909281,53.8,90.27,1080,-999,
2909290,53.28,92.43,2540,-999,
2909295,53.22,92.82,1000,-999,
2909300,54.33,92.5,1480,43,
2909313,52.28,90.82,2740,-999,
2909314,53.8,92.87,31800,284,
2909315,53.72,92.83,9850,40,
2909316,53.33,93.07,5270,-999,
2909318,53.32,93.2,1680,-999,
2909319,53.62,93.02,959,-999,
2909320,53.8,93.48,11900,-999,
2909321,53.68,94.17,9160,426,
2909323,53.9,93.15,9080,-999,
2909325,53.8,93.9,631,-999,
2909327,54.1,92.93,196,-999,
2909330,54.95,92.13,2810,-999,
2909335,55.9,92.5,9260,153,
2909340,54.83,91.83,304,-999,
2909345,55.27,92.67,1370,-999,
2909350,51.36,95.96,867,-999,
2909355,56.02,92.88,1250,-999,
2909356,56.18,92.62,561,-999,
2909357,55.98,92.8,300000,134,
2909358,55.97,93.02,988,-999,
2909359,56.08,93.27,1460,-999,
2909360,56.42,93.95,36800,-999,
2909361,56.22,95.7,23000,198,
2909362,55.65,95.48,8710,-999,
2909363,55.03,95.13,4180,-999,
2909365,56.6,93.48,2230,-999,
2909367,56.27,95.07,1110,-999,
2909368,55.7,95.73,11500,239,
2909369,55.25,94.88,1180,-999,
2909370,55.45,95.85,3600,-999,
2909375,56.12,95.43,1150,-999,
2909377,55.2,95.07,300,-999,
2909380,56.92,93.13,788,-999,
2909385,58.43,92.38,691,-999,
2909390,59.12,93.48,15100,145,
2909391,58.8,92.83,19500,-999,
2909392,58.78,92.85,1250,-999,
2909393,58.23,91.93,597,-999,
2909395,57.82,92.17,1320,-999,
2909398,57.95,92.45,2860,-999,
2909400,62.32,92.12,218000,43,
2909401,61.68,96.38,159000,140,
2909402,60.73,97.52,68400,-999,
2909403,59.63,103.32,16700,269,
2909404,61.55,91.02,232000,-999,
2909410,60.37,92.5,2910,-999,
2909415,62.168,91.422,5625,-999,
2909420,62.58,97.17,1130,-999,
2909430,61.33,100.47,30400,302,
2909431,61.75,102.8,13300,-999,
2909540,62.48,86.28,16300,40,
2909550,61.3,88.48,8360,-999,
2909560,60.35,88.33,22800,71,
2909570,59.42,89.3,7640,89,
2909590,68.42,89.25,12300,52,
2909595,68,88.9,3160,-999,
2909597,67.48,87.83,3670,-999,
2909700,58.22,108.43,8270,330,
2909701,57.87,107.83,4160,-999,
2909702,61.27,108.02,77400,256,
2909703,63.58,103.97,155000,-999,
2909704,64.27,100.27,268000,125,
2909705,65.63,90.02,447000,14,
2909710,65.65,90.12,9100,43,
2909720,64.95,98.9,18900,187,
2909730,62.72,101.12,14800,-999,
2909750,50.63,106.12,23300,575,
2909751,58.23,105.73,4110,-999,
2909752,59.3,106.35,15000,344,
2909760,61.811277,92.619458,1250,-999,
2909900,58.7,92.37,301,-999,
2909950,61.02,93.42,32.3,-999,
2910100,60.5,74.02,22100,31,
2910101,60.27,73.82,18300,-999,
2910102,60.67,73.82,33000,-999,
2910105,60.6,74.53,8130,39,
2910108,59.5,73.25,13000,-999,
2910111,62.15,73.6,8800,-999,
2910112,62.38,73.08,5860,-999,
2910120,61.45,68.93,11500,21,
2910130,61.7,70.67,12800,-999,
2910140,60.98,71.22,12500,-999,
2910141,56.32,85.25,402,-999,
2910150,61.63,72.15,11800,-999,
2910160,61.63,75.08,29700,-999,
2910161,62,76.88,15500,-999,
2910170,61.05,78.55,56400,-999,
2910175,61.73,79.15,7300,-999,
2910200,59.85,81.95,24500,61,
2910201,60.35,84.08,10100,-999,
2910205,59.78,80.43,4270,-999,
2910210,59.37,82.83,6500,73,
2910220,58.8,83.13,900,-999,
2910230,58.42,83.67,71500,58,
2910231,58.65,86.82,38400,84,
2910235,58.98,85.1,7530,-999,
2910237,58.77,86.07,8740,84,
2910240,58.95,80.12,58300,-999,
2910241,59.22,78.22,31700,53,
2910242,58.55,76.47,19000,63,
2910243,57.78,77.28,3730,82,
2910245,57.78,77.28,97,-999,
2910247,59.02,78.43,8040,-999,
2910248,59.02,78.43,225,-999,
2910250,58.17,80.6,17900,58,
2910254,57.7,81,7440,-999,
2910257,57.83,80.15,7090,42,
2910258,57.53,79.37,3400,-999,
2910259,58.1,83.28,42,-999,
2910260,57.78,82.63,25000,61,
2910265,57.53,82.92,5210,-999,
2910266,56.85,83.07,2560,-999,
2910267,57.53,82.9,214,-999,
2910270,57.48,82.22,6610,68,
2910271,56.95,82.52,2040,-999,
2910273,56.95,82.52,44,-999,
2910274,57.52,82.37,462,-999,
2910275,57.57,82.1,9100,-999,
2910276,57.27,81.48,3220,-999,
2910277,57.27,81.4,2730,-999,
2910279,57.08,81.67,2330,-999,
2910280,57.45,83.4,1095,-999,
2910285,55.905271,83.230995,1510,-999,
2910287,55.12,82.47,1350,-999,
2910289,57.17,83.12,170,-999,
2910290,56.55,83.62,8190,89,
2910291,56.13,82.42,1260,-999,
2910295,56,82.72,1420,-999,
2910297,55.040816,79.851759,4390,-999,
2910300,56.5,84.92,57000,69,
2910301,56.5,84.92,57800,-999,
2910310,57.78,85.15,131000,71,
2910311,57.25,86.13,109000,-999,
2910312,56.85,86.62,92500,97,
2910313,57.33,88.1,55300,123,
2910314,56.17,89.93,33800,-999,
2910315,55.98,89.7,25700,-999,
2910316,56.05,90.33,24600,-999,
2910317,55.85,91,17300,-999,
2910318,55.38,91.62,14700,293,
2910319,55.03,89.87,9990,-999,
2910320,57.83,86.28,7720,43,
2910321,57.57,86.42,5210,-999,
2910322,57.57,85.42,2620,-999,
2910324,57.2,85.75,210,-999,
2910325,56.77,86.97,14900,-999,
2910326,56.2,87.78,9820,120,
2910327,55.7,87.8,5680,-999,
2910328,55.6,88.05,3420,-999,
2910330,56.65,86.17,10200,-999,
2910331,56.18,86.4,3460,-999,
2910332,55.95,85.83,415,-999,
2910333,56.48,86,2000,-999,
2910334,56.1,86.88,617,-999,
2910335,56.8,86.08,340,-999,
2910337,56.85,86.07,320,-999,
2910339,56.8,86.73,228,-999,
2910340,57.05,88.08,11500,119,
2910342,56.68,87.92,200,-999,
2910345,56.37,88.17,1800,-999,
2910346,56.15,88.57,693,-999,
2910347,56.28,87.72,917,-999,
2910349,56,89.07,290,-999,
2910350,56.12,86.45,2900,-999,
2910352,56.03,87.62,1190,-999,
2910355,55.95,88.1,1720,-999,
2910356,55.87,88.32,1320,-999,
2910357,55.8,88.38,792,-999,
2910359,55.75,88.32,217,-999,
2910360,55.73,86.83,1220,-999,
2910362,56.53,89.32,798,-999,
2910365,57.05,91.38,7800,-999,
2910366,56.13,91.6,1480,-999,
2910367,56.23,92.15,250,-999,
2910368,56.92,91.33,409,-999,
2910370,56.65,90.55,2130,-999,
2910371,56.4,90.95,1090,-999,
2910373,56.3,90.52,78.5,-999,
2910375,56.03,90.45,142,-999,
2910376,56.07,90.05,171,-999,
2910380,55.82,90.15,4580,251,
2910381,55.55,89.63,1600,-999,
2910383,55.68,90.5,119,-999,
2910384,55.6,90.65,77.4,-999,
2910385,55.88,89.75,208,-999,
2910386,55.53,89.63,83.9,-999,
2910387,55.53,89.63,1030,-999,
2910389,55.6,89.45,50.4,-999,
2910390,55.73,89.22,5000,-999,
2910391,55.25,88.45,500,-999,
2910394,55.3,89.23,415,-999,
2910395,55.4,88.95,160,-999,
2910396,55.6,88.63,615,-999,
2910397,55.03,89.57,472,-999,
2910400,55.9,89.57,4980,-999,
2910405,54.87,89.3,3100,450,
2910406,54.4,89.45,3520,-999,
2910407,54.75,89,1310,-999,
2910410,56.87,84.87,260,-999,
2910411,56.57,85,825,-999,
2910412,56.53,84.73,316,-999,
2910413,56.5,84.92,713,-999,
2910415,55.73,86.3,1060,-999,
2910420,50.27,85.62,5600,958,
2910423,50.27,85.92,383,-999,
2910424,50.17,86.17,200,-999,
2910428,49.3,87.62,602,-999,
2910429,49.67,87.42,1770,-999,
2910430,50.63,87.95,4190,-999,
2910435,51.28,87.72,16600,435,
2910436,51.37,87.92,37,-999,
2910437,51.43,87.7,436,-999,
2910438,51.58,87.68,472,-999,
2910439,51.77,87.6,15,-999,
2910440,52.42,85.72,58400,197,
2910441,50.48,86.6,36800,-999,
2910442,50.13,86.32,13500,846,
2910445,50.1,88.38,8180,-999,
2910446,49.98,88.17,372,-999,
2910447,49.68,89.1,230,-999,
2910448,50.08,87.82,33.4,-999,
2910450,52.17,85.17,4720,182,
2910453,51.97,84.95,91,-999,
2910455,52.28,85.42,1730,-999,
2910457,51.87,85.35,244,-999,
2910460,52,85.85,780,-999,
2910463,52.17,85.97,3360,40,
2910465,51.3,85.68,500,-999,
2910467,51.12,86.27,210,-999,
2910470,52.55,85.28,36900,163,
2910471,52.27,87.17,25300,308,
2910472,51.9,87.1,21000,43,
2910473,51.8,87.25,20100,-999,
2910474,51.93,87.65,83,-999,
2910475,52.12,87.66,585,-999,
2910476,52.3,87.03,4500,-999,
2910478,52.65,86.18,2060,-999,
2910480,49.98127,86.527,78.9,-999,
2910485,50.73,86.17,3080,815,
2910487,50.43,85.08,726,-999,
2910490,53.78,87.15,29800,192,
2910491,53.67,88.1,5880,-999,
2910492,53.63,88.53,4350,-999,
2910493,53.43,89.13,2480,-999,
2910494,55.38,86.05,47400,107,
2910500,53.64,88.1,3320,240,
2910501,53.68,88.08,3320,240,
2910510,52.13,83.28,20700,-999,
2910511,52.07,83.2,20000,-999,
2910512,52.1,82.55,17600,-999,
2910513,51.72,82.67,13900,-999,
2910514,52.13,83.28,20700,145,
2910515,51.02,84.32,3480,719,
2910517,51.62,82.3,1020,-999,
2910518,51.27,82.77,1140,-999,
2910519,51.58,82.97,1100,-999,
2910520,52.35,84.82,6850,-999,
2910521,52.38,84.73,4870,44,
2910522,51.65,84.32,2540,-999,
2910560,52.52,82.77,18700,150,
2910561,52.18,81.77,10300,-999,
2910562,51.18,81.2,6450,-999,
2910563,51.5,81.22,3140,-999,
2910564,51.02,82,2070,-999,
2910567,51.88,82.07,1480,-999,
2910570,53.23,82.8,1650,-999,
2910580,55,83.33,17300,100,
2910581,55.32,84.1,15700,119,
2910582,55.23,84.4,13700,-999,
2910583,54.95,85.67,7960,-999,
2910584,54.67,86.13,5460,-999,
2910585,54.38,86.77,1210,-999,
2910587,55.5,84.73,1390,-999,
2910590,55.55,83.87,996,-999,
2910592,54.95,85.45,1800,-999,
2910593,54.5,86,1185,-999,
2910594,54.37,86.2,734,-999,
2910595,54.23,86.23,475,-999,
2910600,59.52,79.47,738000,-999,
2910601,58.3,82.88,486000,53,
2910602,57.72,83.55,482000,-999,
2910603,55.48,83.28,258000,-999,
2910604,55,82.95,252000,91,
2910605,54.8,82.95,232000,-999,
2910606,53.8,81.33,216000,110,
2910607,53.4,83.82,169000,128,
2910608,52.45,84.92,98200,160,
2910630,54.95,86.37,753,-999,
2910631,54.95,86.38,978,-999,
2910633,54.58,82.92,514,-999,
2910635,54.38,82.45,1140,-999,
2910637,53.97,82.6,680,-999,
2910640,53.6,82.87,1270,-999,
2910643,53.68,83.7,345,-999,
2910645,53.88,85.2,1440,-999,
2910647,53.98,85.4,628,-999,
2910648,54.03,85.3,101,-999,
2910650,54.63,83.4,6270,116,
2910651,54.33,84.23,2480,-999,
2910655,54.8,83.33,270,-999,
2910656,54.3,84.58,290,-999,
2910657,54.78,83.92,465,-999,
2910658,54.5,83.42,473,-999,
2910660,53.8,83.57,20600,132,
2910661,53.73,84.95,15900,-999,
2910662,53.47,85.42,11000,-999,
2910663,53.28,86.25,4340,-999,
2910665,53.28,86.53,771,-999,
2910666,53.6,86.5,432,-999,
2910668,53.6,85.23,240,-999,
2910669,53.47,85.92,1200,-999,
2910690,53.3,84.2,1320,-999,
2910691,53.37,84.6,435,-999,
2910693,53.4,84.3,375,-999,
2910695,52.98,84.67,953,-999,
2910697,52.25,86.18,856,-999,
2910700,53.33,87.23,7080,225,
2910701,52.82,87.25,2510,-999,
2910702,52.75,87.87,842,-999,
2910710,52.87,86.47,126,-999,
2910715,53.13,87.45,1200,-999,
2910716,53.22,87.4,1110,-999,
2910718,53.58,87.3,1060,-999,
2910720,53.7,87.8,8790,223,
2910721,52.82,88.43,3170,-999,
2910723,52.75,88.53,1230,-999,
2910725,54.03,87.17,1110,-999,
2910728,54.12,87.33,297,-999,
2910730,54.3,87.58,1860,-999,
2910731,54.37,87.63,1780,-999,
2910735,54.2,87.55,1020,-999,
2910736,54.2,87.83,655,-999,
2910740,54.83,87.53,1330,-999,
2910745,53.87,87.92,641,-999,
2910747,53.02,87.57,146,-999,
2910750,50.12,86.33,627,-999,
2910755,57.17,84.13,517,-999,
2910760,55.98,89.7,692,-999,
2910765,59.85,81.95,1880,-999,
2911095,60.97,69.07,1200000,-999,
2911096,59.6,69.28,1120000,-999,
2911097,58.2,68.23,1500000,36,
2911098,57.7,71.17,564000,-999,
2911099,56.92,74.53,376000,-999,
2911100,55.02,73.3,769000,69,
2911101,54.15,74.8,298000,-999,
2911150,57.67,69.2,15600,39,
2911151,57.03,68.92,9740,60,
2911152,56.5,68.07,4580,-999,
2911160,58.08,69.28,459,-999,
2911162,57.8,69.5,3430,-999,
2911165,57.13,69.22,2140,-999,
2911170,56.43,68.58,2540,-999,
2911173,56.7,68.52,747,-999,
2911180,57.53,68.68,2080,-999,
2911209,56.1,69.47,154000,-999,
2911210,54.02,60.12,917,-999,
2911215,54.08,60.43,3600,253,
2911230,52.97,62.2,10300,-999,
2911235,53,61.62,2950,-999,
2911240,52.33,61.02,1940,-999,
2911245,52.23,60.72,1540,-999,
2911270,56.17,66.47,3250,-999,
2911275,56.03,66.85,2420,-999,
2911277,56.5,66.55,917,-999,
2911279,56.45,66.67,155,-999,
2911280,56.83,66.7,678,-999,
2911303,56.82,70.63,151000,54,
2911304,57.45,70.85,171000,-999,
2911305,55.43,65.38,98800,-999,
2911306,54.47,64.83,83800,-999,
2911307,57.82,67.4,359000,-999,
2911308,57.58,67.17,269000,-999,
2911309,56.67,66.35,241000,49,
2911310,57.5,71.4,2440,-999,
2911315,56.82,70.95,1030,-999,
2911317,56.32,70.13,1080,-999,
2911319,56.15,69.57,2500,-999,
2911380,57.1,73.07,4580,63,
2911381,56.98,72.63,4070,-999,
2911385,56.88,72.78,905,-999,
2911390,57.07,73.8,15000,-999,
2911391,56.47,73.67,11300,78,
2911395,57.02,73.67,836,-999,
2911397,56.2,72.98,9380,-999,
2911399,56.03,74.43,84.3,-999,
2911400,57.63,72.92,6500,-999,
2911401,57.82,73.92,3050,-999,
2911402,58.87,60.78,5290,-999,
2911403,58.32,59.67,244,-999,
2911405,57.27,74.28,3750,67,
2911406,57.35,74.75,2320,-999,
2911410,55.87,78.4,2040,-999,
2911415,55.586541,79.35648,852,-999,
2911417,58.15,59.72,299,-999,
2911420,55.67,76.75,16200,95,
2911421,56.07,77.3,8470,-999,
2911422,56.35,78.35,5480,-999,
2911423,56.37,78.72,4540,-999,
2911425,55.48,77.82,2740,-999,
2911427,56.63,77.52,1430,-999,
2911430,55.67,77.25,2310,-999,
2911431,55.87,77.68,1400,-999,
2911432,56.05,78.45,648,-999,
2911433,55.93,60.67,209,-999,
2911435,55.92,77.12,994,-999,
2911437,55.67,77.57,3150,-999,
2911438,56.72,78.23,1650,-999,
2911439,57.55,65.83,895,-999,
2911440,55.15,74.2,1740,-999,
2911445,55.93,76.7,5240,-999,
2911450,55.02,73.47,52400,-999,
2911451,55.03,74.1,51300,-999,
2911452,55.07,74.58,47800,77,
2911453,55.42,74.93,44100,-999,
2911454,55.6,76.38,39200,-999,
2911455,55.45,78.32,12200,104,
2911456,55.68,79.07,10200,-999,
2911457,55.85,80.03,6500,-999,
2911460,56.38,75.25,16400,61,
2911461,56.47,76.02,14200,69,
2911462,56.57,76.63,9220,79,
2911463,56.7347,78.7455,6250,-999,
2911464,56.62,78.32,2750,-999,
2911467,56.48,75.83,579,-999,
2911470,57.07,74.52,6650,-999,
2911471,56.95,75.32,4460,74,
2911472,56.92,76.15,1310,-999,
2911475,56.85,75.73,419,-999,
2911501,54.7,78.67,6440,104,
2911502,59.05,60.26,2940,82,
2911503,55.23,80.32,3910,123,
2911504,59.05,60.67,3010,-999,
2911506,59.07,59.88,1760,-999,
2911560,53.77,78.05,7720,-999,
2911561,54.17,80.02,4210,-999,
2911562,54.5,81.13,1110,-999,
2911565,53.62,79.55,4750,130,
2911570,54.67,79.23,9610,-999,
2911571,54.78,79.7,8850,-999,
2911572,54.98,80.7,2870,-999,
2911575,54.63,79.43,1900,-999,
2911577,54.82,80.43,3090,-999,
2911590,52.97,80.18,12300,93,
2911591,53.27,80.78,8720,-999,
2911592,53,81.22,1400,-999,
2911595,52.7,79.93,992,-999,
2911630,57.68,66.18,86100,40,
2911631,58.03,65.32,81000,-999,
2911632,58.52,64.53,74200,49,
2911633,58.53,64.37,1220,-999,
2911650,59.17,61.92,22100,58,
2911651,59.32,60.98,11500,-999,
2911652,60.22,60.42,4390,-999,
2911655,60.7,60.42,2250,-999,
2911656,60.15,59.97,1420,-999,
2911657,59.63,62.17,17300,-999,
2911658,60.63,60.52,6530,82,
2911659,61.3,60.47,4520,-999,
2911660,61.03,62.22,403,-999,
2911665,61.022805,61.976181,4840,-999,
2911666,59.77,59.88,480,-999,
2911667,59.38,61.27,403,-999,
2911670,56.48,65.35,56000,58,
2911671,56.15,64.57,52300,-999,
2911672,56.08,63.63,23400,-999,
2911673,56.25,62.92,13100,-999,
2911674,56.28,62.58,12800,-999,
2911675,56.62,61.18,3500,-999,
2911676,56.72,60.77,1470,-999,
2911680,55.95,64.43,21400,68,
2911681,55.38,63.22,14600,-999,
2911682,55.32,61.35,5680,-999,
2911683,55.07,61.27,5300,-999,
2911684,55.18,61.08,4590,-999,
2911685,55.33,60.23,1830,-999,
2911686,55.02,60.12,1520,-999,
2911687,55.3,60.92,75.6,-999,
2911688,54.95,61.55,227,-999,
2911689,54.85,59.8,117,-999,
2911690,54.22,61.22,5100,-999,
2911691,54.58,61.22,3620,-999,
2911692,54.6,60.25,393,-999,
2911694,54.52,61.08,878,-999,
2911695,55.3,64.42,1950,-999,
2911696,56.53,65.1,778,-999,
2911697,56.38,65.33,252,-999,
2911698,56.65,65.37,68.1,-999,
2911699,56.53,65.7,376,-999,
