Date,ET [kg/m^2/8day]
2001-01-01,147.32057074921016
2001-01-02,145.22622893100976
2001-01-03,143.13188711280935
2001-01-04,141.03754529460895
2001-01-05,138.94320347640854
2001-01-06,136.84886165820814
2001-01-07,134.75451984000773
2001-01-08,132.66017802180733
2001-01-09,130.56583620360692
2001-01-10,129.69601602416773
2001-01-11,128.82619584472852
2001-01-12,127.95637566528931
2001-01-13,127.08655548585011
2001-01-14,126.21673530641092
2001-01-15,125.34691512697172
2001-01-16,124.47709494753252
2001-01-17,123.60727476809332
2001-01-18,124.3115885207175
2001-01-19,125.0159022733417
2001-01-20,125.72021602596588
2001-01-21,126.42452977859006
2001-01-22,127.12884353121424
2001-01-23,127.83315728383843
2001-01-24,128.53747103646262
2001-01-25,129.2417847890868
2001-01-26,129.08514424773065
2001-01-27,128.9285037063745
2001-01-28,128.77186316501835
2001-01-29,128.6152226236622
2001-01-30,128.45858208230607
2001-01-31,128.3019415409499
2001-02-01,128.14530099959376
2001-02-02,127.9886604582376
2001-02-03,127.82543946852259
2001-02-04,127.66221847880756
2001-02-05,127.49899748909255
2001-02-06,127.33577649937752
2001-02-07,127.1725555096625
2001-02-08,127.00933451994749
2001-02-09,126.84611353023246
2001-02-10,126.68289254051744
2001-02-11,124.31555201958491
2001-02-12,121.9482114986524
2001-02-13,119.58087097771988
2001-02-14,117.21353045678735
2001-02-15,114.84618993585482
2001-02-16,112.47884941492231
2001-02-17,110.1115088939898
2001-02-18,107.74416837305726
2001-02-19,105.92768044356296
2001-02-20,104.11119251406868
2001-02-21,102.29470458457439
2001-02-22,100.47821665508009
2001-02-23,98.66172872558579
2001-02-24,96.8452407960915
2001-02-25,95.02875286659722
2001-02-26,93.21226493710292
2001-02-27,92.14030693505137
2001-02-28,91.06834893299981
2001-03-01,89.99639093094825
2001-03-02,88.9244329288967
2001-03-03,87.85247492684516
2001-03-04,86.7805169247936
2001-03-05,85.70855892274204
2001-03-06,84.6366009206905
2001-03-07,85.00737880066015
2001-03-08,85.3781566806298
2001-03-09,85.74893456059945
2001-03-10,86.11971244056909
2001-03-11,86.49049032053874
2001-03-12,86.86126820050839
2001-03-13,87.23204608047804
