Date,ET [kg/m^2/8day]
2001-01-01,513.989653394527
2001-01-02,484.26912520040594
2001-01-03,454.54859700628487
2001-01-04,424.8280688121638
2001-01-05,395.1075406180428
2001-01-06,365.38701242392176
2001-01-07,335.6664842298007
2001-01-08,305.9459560356796
2001-01-09,276.2254278415586
2001-01-10,279.14525478022415
2001-01-11,282.06508171888976
2001-01-12,284.9849086575553
2001-01-13,287.9047355962209
2001-01-14,290.82456253488647
2001-01-15,293.744389473552
2001-01-16,296.6642164122176
2001-01-17,299.5840433508832
2001-01-18,297.26547674072356
2001-01-19,294.94691013056394
2001-01-20,292.6283435204043
2001-01-21,290.30977691024475
2001-01-22,287.99121030008513
2001-01-23,285.6726436899255
2001-01-24,283.3540770797659
2001-01-25,281.03551046960627
2001-01-26,281.5050405399935
2001-01-27,281.9745706103808
2001-01-28,282.44410068076803
2001-01-29,282.9136307511553
2001-01-30,283.38316082154256
2001-01-31,283.8526908919298
2001-02-01,284.3222209623171
2001-02-02,284.7917510327043
2001-02-03,285.08462797544223
2001-02-04,285.3775049181801
2001-02-05,285.670381860918
2001-02-06,285.9632588036559
2001-02-07,286.25613574639374
2001-02-08,286.54901268913164
2001-02-09,286.8418896318695
2001-02-10,287.1347665746074
2001-02-11,288.09803522950745
2001-02-12,289.06130388440755
2001-02-13,290.02457253930766
2001-02-14,290.9878411942077
2001-02-15,291.95110984910775
2001-02-16,292.91437850400786
2001-02-17,293.87764715890796
2001-02-18,294.840915813808
2001-02-19,293.6911194769807
2001-02-20,292.54132314015345
2001-02-21,291.3915268033262
2001-02-22,290.2417304664989
2001-02-23,289.0919341296716
2001-02-24,287.94213779284433
2001-02-25,286.7923414560171
2001-02-26,285.6425451191898
2001-02-27,285.9679902479035
2001-02-28,286.2934353766173
2001-03-01,286.61888050533105
2001-03-02,286.94432563404484
2001-03-03,287.2697707627586
2001-03-04,287.5952158914723
2001-03-05,287.9206610201861
2001-03-06,288.24610614889986
2001-03-07,288.3932819144657
2001-03-08,288.5404576800315
2001-03-09,288.6876334455974
2001-03-10,288.83480921116325
2001-03-11,288.9819849767291
2001-03-12,289.12916074229497
2001-03-13,289.2763365078608
2001-03-14,289.42351227342664
2001-03-15,295.0664397775579
2001-03-16,300.70936728168914
