Date,ET [kg/m^2/8day]
2001-01-01,104.04122745962896
2001-01-02,118.31105581263785
2001-01-03,132.58088416564675
2001-01-04,146.85071251865563
2001-01-05,161.12054087166453
2001-01-06,175.3903692246734
2001-01-07,189.6601975776823
2001-01-08,203.93002593069122
2001-01-09,218.1998542837001
2001-01-10,221.1578051643671
2001-01-11,224.1157560450341
2001-01-12,227.0737069257011
2001-01-13,230.03165780636812
2001-01-14,232.98960868703512
2001-01-15,235.94755956770211
2001-01-16,238.9055104483691
2001-01-17,241.8634613290361
2001-01-18,235.58767020210263
2001-01-19,229.31187907516912
2001-01-20,223.0360879482356
2001-01-21,216.76029682130212
2001-01-22,210.48450569436864
2001-01-23,204.20871456743512
2001-01-24,197.9329234405016
2001-01-25,191.65713231356813
2001-01-26,193.99609315470275
2001-01-27,196.33505399583737
2001-01-28,198.67401483697202
2001-01-29,201.01297567810664
2001-01-30,203.35193651924126
2001-01-31,205.6908973603759
2001-02-01,208.02985820151054
2001-02-02,210.36881904264516
2001-02-03,208.58883552189988
2001-02-04,206.8088520011546
2001-02-05,205.0288684804093
2001-02-06,203.24888495966403
2001-02-07,201.46890143891875
2001-02-08,199.68891791817344
2001-02-09,197.90893439742817
2001-02-10,196.1289508766829
2001-02-11,198.35876578168632
2001-02-12,200.58858068668977
2001-02-13,202.8183955916932
2001-02-14,205.04821049669664
2001-02-15,207.27802540170006
2001-02-16,209.50784030670349
2001-02-17,211.73765521170694
2001-02-18,213.96747011671036
2001-02-19,204.68324122067136
2001-02-20,195.39901232463237
2001-02-21,186.11478342859337
2001-02-22,176.83055453255437
2001-02-23,167.54632563651538
2001-02-24,158.26209674047638
2001-02-25,148.97786784443738
2001-02-26,139.6936389483984
2001-02-27,143.33109762720386
2001-02-28,146.96855630600933
2001-03-01,150.6060149848148
2001-03-02,154.24347366362028
2001-03-03,157.88093234242575
2001-03-04,161.51839102123122
2001-03-05,165.1558497000367
2001-03-06,168.79330837884217
2001-03-07,166.50182045758334
2001-03-08,164.2103325363245
2001-03-09,161.91884461506567
2001-03-10,159.6273566938068
2001-03-11,157.33586877254797
2001-03-12,155.04438085128913
2001-03-13,152.7528929300303
2001-03-14,150.46140500877146
2001-03-15,154.07422982750694
2001-03-16,157.6870546462424
2001-03-17,161.29987946497786
2001-03-18,164.9127042837133
2001-03-19,168.5255291024488
2001-03-20,172.13835392118426
2001-03-21,175.7511787399197
2001-03-22,179.36400355865518
2001-03-23,177.37040482557674
2001-03-24,175.37680609249827
2001-03-25,173.38320735941983
2001-03-26,171.38960862634138
2001-03-27,169.3960098932629
2001-03-28,167.40241116018447
2001-03-29,165.408812427106
2001-03-30,163.41521369402756
2001-03-31,164.43163067407914
2001-04-01,165.44804765413073
2001-04-02,166.46446463418235
2001-04-03,167.48088161423394
2001-04-04,168.49729859428552
2001-04-05,169.51371557433714
2001-04-06,170.53013255438873
2001-04-07,171.54654953444032
2001-04-08,170.3497140295566
2001-04-09,169.15287852467284
2001-04-10,167.9560430197891
2001-04-11,166.75920751490537
2001-04-12,165.56237201002165
2001-04-13,164.3655365051379
2001-04-14,163.16870100025415
2001-04-15,161.97186549537042
2001-04-16,157.85538310966052
2001-04-17,153.73890072395062
2001-04-18,149.62241833824072
2001-04-19,145.50593595253082
2001-04-20,141.38945356682095
2001-04-21,137.27297118111105
2001-04-22,133.15648879540115
2001-04-23,129.04000640969124
2001-04-24,126.25019602506939
2001-04-25,123.46038564044751
2001-04-26,120.67057525582564
2001-04-27,117.88076487120378
2001-04-28,115.09095448658192
2001-04-29,112.30114410196005
2001-04-30,109.51133371733818
2001-05-01,106.72152333271632
2001-05-02,103.40726228159114
2001-05-03,100.09300123046596
2001-05-04,96.77874017934079
2001-05-05,93.4644791282156
2001-05-06,90.15021807709043
2001-05-07,86.83595702596526
2001-05-08,83.52169597484007
2001-05-09,80.2074349237149
2001-05-10,81.79882591383719
2001-05-11,83.39021690395947
2001-05-12,84.98160789408175
2001-05-13,86.57299888420404
2001-05-14,88.16438987432633
2001-05-15,89.75578086444861
2001-05-16,91.34717185457089
2001-05-17,92.93856284469318
2001-05-18,94.45925258295047
2001-05-19,95.97994232120776
2001-05-20,97.50063205946505
2001-05-21,99.02132179772235
2001-05-22,100.54201153597964
2001-05-23,102.06270127423693
2001-05-24,103.58339101249422
2001-05-25,105.1040807507515
2001-05-26,102.94265436694607
2001-05-27,100.78122798314064
2001-05-28,98.6198015993352
2001-05-29,96.45837521552977
2001-05-30,94.29694883172432
2001-05-31,92.13552244791889
2001-06-01,89.97409606411345
2001-06-02,87.81266968030802
2001-06-03,87.58275661116856
2001-06-04,87.3528435420291
2001-06-05,87.12293047288965
2001-06-06,86.89301740375018
2001-06-07,86.66310433461072
2001-06-08,86.43319126547127
2001-06-09,86.20327819633181
2001-06-10,85.97336512719235
2001-06-11,79.83054030109207
2001-06-12,73.68771547499179
2001-06-13,67.54489064889151
2001-06-14,61.40206582279123
2001-06-15,55.25924099669095
2001-06-16,49.116416170590675
2001-06-17,42.973591344490394
2001-06-18,36.830766518390114
2001-06-19,39.344509121966674
2001-06-20,41.85825172554323
2001-06-21,44.37199432911979
2001-06-22,46.88573693269634
2001-06-23,49.3994795362729
2001-06-24,51.91322213984945
2001-06-25,54.42696474342601
2001-06-26,56.94070734700257
2001-06-27,59.454449950579125
2001-06-28,61.96819255415568
2001-06-29,64.48193515773224
2001-06-30,66.9956777613088
2001-07-01,69.50942036488536
2001-07-02,72.02316296846192
2001-07-03,74.53690557203846
2001-07-04,77.05064817561502
2001-07-05,76.82493155442488
2001-07-06,76.59921493323475
2001-07-07,76.3734983120446
2001-07-08,76.14778169085446
2001-07-09,75.92206506966431
2001-07-10,75.69634844847417
2001-07-11,75.47063182728404
2001-07-12,75.24491520609389
2001-07-13,73.46112410185239
2001-07-14,71.6773329976109
2001-07-15,69.89354189336942
2001-07-16,68.10975078912792
2001-07-17,66.32595968488641
2001-07-18,64.54216858064493
2001-07-19,62.75837747640343
2001-07-20,60.97458637216194
