Date,Daily Average LST [C]
2002-07-04,-3.587551641051519
2002-07-05,-3.8568330097039567
2002-07-06,-4.1261143783563945
2002-07-07,-4.395395747008832
2002-07-08,-4.66467711566127
2002-07-09,-4.933958484313708
2002-07-10,-5.2032398529661466
2002-07-11,-5.472521221618584
2002-07-12,-5.741802590271022
2002-07-13,-5.550039252573579
2002-07-14,-5.3582759148761365
2002-07-15,-5.166512577178693
2002-07-16,-4.97474923948125
2002-07-17,-4.782985901783807
2002-07-18,-4.5912225640863635
2002-07-19,-4.399459226388921
2002-07-20,-4.207695888691478
2002-07-21,-4.5895715153884735
2002-07-22,-4.971447142085469
2002-07-23,-5.353322768782466
2002-07-24,-5.735198395479461
2002-07-25,-6.117074022176457
2002-07-26,-6.498949648873452
2002-07-27,-6.880825275570448
2002-07-28,-7.262700902267444
2002-07-29,-6.816378231753229
2002-07-30,-6.370055561239015
2002-07-31,-5.9237328907248
2002-08-01,-5.477410220210586
2002-08-02,-5.031087549696371
2002-08-03,-4.584764879182157
2002-08-04,-4.138442208667943
2002-08-05,-3.692119538153728
2002-08-06,-3.5319089923976517
2002-08-07,-3.3716984466415747
2002-08-08,-3.211487900885498
2002-08-09,-3.0512773551294217
2002-08-10,-2.8910668093733447
2002-08-11,-2.730856263617268
2002-08-12,-2.5706457178611917
2002-08-13,-2.4104351721051147
2002-08-14,-2.4865815829635105
2002-08-15,-2.562727993821906
2002-08-16,-2.6388744046803017
2002-08-17,-2.715020815538697
2002-08-18,-2.791167226397093
2002-08-19,-2.8673136372554886
2002-08-20,-2.9434600481138844
2002-08-21,-3.0196064589722797
2002-08-22,-3.0374447280668453
2002-08-23,-3.0552829971614113
2002-08-24,-3.073121266255977
2002-08-25,-3.0909595353505424
2002-08-26,-3.108797804445108
2002-08-27,-3.1266360735396734
2002-08-28,-3.1444743426342394
2002-08-29,-3.162312611728805
2002-08-30,-2.9375566165807303
2002-08-31,-2.7128006214326557
2002-09-01,-2.488044626284581
2002-09-02,-2.2632886311365064
2002-09-03,-2.0385326359884317
2002-09-04,-1.8137766408403573
2002-09-05,-1.5890206456922826
2002-09-06,-1.364264650544208
2002-09-07,-0.9669232338202952
2002-09-08,-0.5695818170963824
2002-09-09,-0.17224040037246957
2002-09-10,0.22510101635144308
2002-09-11,0.6224424330753557
2002-09-12,1.0197838497992688
2002-09-13,1.4171252665231815
2002-09-14,1.8144666832470944
2002-09-15,1.6700992500334446
2002-09-16,1.5257318168197949
2002-09-17,1.3813643836061453
2002-09-18,1.2369969503924956
2002-09-19,1.0926295171788458
2002-09-20,0.9482620839651962
